date,close_a,close_b
2024-01-02,189.54,188.20
2024-01-03,187.32,185.90
2024-01-04,188.88,187.50
2024-01-05,190.12,188.80
2024-01-08,191.45,190.10
2024-01-09,190.76,189.40
2024-01-10,192.33,191.00
2024-01-11,193.02,191.70
2024-01-12,192.55,191.20
2024-01-15,194.10,192.80
2024-01-16,193.85,192.50
2024-01-17,195.22,193.90
2024-01-18,196.01,194.60
2024-01-19,195.44,194.10
2024-01-22,197.10,195.70
2024-01-23,198.02,196.60
2024-01-24,197.55,196.10
2024-01-25,199.20,197.80
2024-01-26,200.01,198.60
2024-01-29,199.65,198.20
